candidate_id,rank,score,reasoning
CAND_0042429,1,0.7021,Matched JD using semantic similarity. Experience: 12.5 years. Relevant skills: Marketing SEO Vue.js Databricks Tally SQL Spark Redis Docker REST
CAND_0076006,2,0.70083,Matched JD using semantic similarity. Experience: 13.7 years. Relevant skills: SEO Excel Hadoop Spring Boot Redis React SQL Django PostgreSQL
CAND_0003189,3,0.70007,Matched JD using semantic similarity. Experience: 7.9 years. Relevant skills: Redux SAP PostgreSQL Salesforce CRM Data Pipelines Apache Flink Airflow
CAND_0063657,4,0.69698,Matched JD using semantic similarity. Experience: 14.9 years. Relevant skills: Redis GANs Illustrator Sales PowerPoint dbt Hadoop SQL FastAPI Scrum
CAND_0086969,5,0.69547,Matched JD using semantic similarity. Experience: 12.6 years. Relevant skills: JavaScript GraphQL GANs SEO Hadoop TypeScript Spark Redux Microservices FastAPI
CAND_0086080,6,0.69461,Matched JD using semantic similarity. Experience: 12.1 years. Relevant skills: GANs Illustrator Go SAP SQL Content Writing FAISS Semantic Search
CAND_0033243,7,0.69393,Matched JD using semantic similarity. Experience: 10.6 years. Relevant skills: Redis CI/CD BentoML Data Pipelines Vue.js SAP JavaScript Marketing GCP
CAND_0096474,8,0.69232,Matched JD using semantic similarity. Experience: 10.8 years. Relevant skills: Data Pipelines SAP Redux Six Sigma Angular Node.js SEO Hadoop
CAND_0057202,9,0.69181,Matched JD using semantic similarity. Experience: 13.9 years. Relevant skills: Data Pipelines Java FastAPI SAP Databricks Apache Beam REST APIs
CAND_0039919,10,0.69078,Matched JD using semantic similarity. Experience: 13.5 years. Relevant skills: Accounting Data Pipelines Project Management Redux Time Series PostgreSQL LangChain
CAND_0012626,11,0.68904,Matched JD using semantic similarity. Experience: 11.8 years. Relevant skills: SQL FastAPI Accounting Apache Beam React Redux Kafka Forecasting Excel
CAND_0048859,12,0.68875,Matched JD using semantic similarity. Experience: 13.4 years. Relevant skills: Rust Weights & Biases Project Management SQL SEO FastAPI Redux
CAND_0041662,13,0.68661,Matched JD using semantic similarity. Experience: 13.1 years. Relevant skills: Hadoop REST APIs Redis Reinforcement Learning Sales Six Sigma Salesforce
CAND_0036898,14,0.68646,Matched JD using semantic similarity. Experience: 11.5 years. Relevant skills: Kafka Photoshop Apache Flink Tally React dbt Redux Databricks Go
CAND_0060894,15,0.68636,Matched JD using semantic similarity. Experience: 12.6 years. Relevant skills: Java Tailwind FastAPI Databricks ASR React SEO LLMs Prompt Engineering
CAND_0058592,16,0.68623,Matched JD using semantic similarity. Experience: 14.9 years. Relevant skills: PostgreSQL Project Management Vue.js SAP Feature Engineering Azure Tally SQL
CAND_0071369,17,0.68604,Matched JD using semantic similarity. Experience: 10.4 years. Relevant skills: SQL Marketing Redux BigQuery CI/CD Redis Salesforce CRM Django TTS
CAND_0061040,18,0.68596,Matched JD using semantic similarity. Experience: 13.3 years. Relevant skills: Weights & Biases Spark Apache Flink PostgreSQL JavaScript CSS Webpack
CAND_0027651,19,0.68532,Matched JD using semantic similarity. Experience: 11.2 years. Relevant skills: AWS Go SAP SQL React Java Marketing Vector Search Information
CAND_0008995,20,0.68519,Matched JD using semantic similarity. Experience: 14.1 years. Relevant skills: Excel Accounting Illustrator Redis Kubernetes gRPC Redux Hadoop Salesforce CRM
CAND_0096290,21,0.68445,Matched JD using semantic similarity. Experience: 11.5 years. Relevant skills: Redux PostgreSQL FastAPI Project Management Apache Flink GraphQL Hadoop Spark
CAND_0042679,22,0.68361,Matched JD using semantic similarity. Experience: 14.2 years. Relevant skills: Data Pipelines PostgreSQL FastAPI Apache Flink Forecasting Scrum Microservices Java
CAND_0037322,23,0.68297,Matched JD using semantic similarity. Experience: 8.0 years. Relevant skills: Spark Marketing Redis Weights & Biases Airflow HTML CSS Content
CAND_0004911,24,0.68281,Matched JD using semantic similarity. Experience: 13.9 years. Relevant skills: Spark Vue.js Terraform Accounting Databricks Illustrator Snowflake Angular Redis Feature
CAND_0039597,25,0.68268,Matched JD using semantic similarity. Experience: 13.0 years. Relevant skills: SAP Illustrator Diffusion Models Java React Scrum LangChain Hugging Face
CAND_0097572,26,0.68264,Matched JD using semantic similarity. Experience: 14.9 years. Relevant skills: Apache Flink BentoML Tally Scrum Accounting TypeScript SAP AWS Pinecone
CAND_0016433,27,0.68231,Matched JD using semantic similarity. Experience: 8.5 years. Relevant skills: Java Hadoop Airflow Redis Redux Microservices PowerPoint Spark Next.js Information
CAND_0021997,28,0.68204,Matched JD using semantic similarity. Experience: 14.9 years. Relevant skills: Kubeflow REST APIs PostgreSQL Data Pipelines Redux PowerPoint Salesforce CRM
CAND_0032334,29,0.68195,Matched JD using semantic similarity. Experience: 11.3 years. Relevant skills: ETL SEO Django Redis Webpack HTML Semantic Search Vector Search
CAND_0014653,30,0.68185,Matched JD using semantic similarity. Experience: 10.8 years. Relevant skills: Java Data Pipelines Spring Boot Illustrator Apache Flink Databricks FastAPI
CAND_0046226,31,0.68139,Matched JD using semantic similarity. Experience: 11.1 years. Relevant skills: SQL Redis Java SEO Angular ASR Vue.js Operations Manager |
CAND_0042992,32,0.68097,Matched JD using semantic similarity. Experience: 14.0 years. Relevant skills: ETL GCP SAP Redis Kafka Go SEO LLMs Hugging Face
CAND_0095231,33,0.68084,Matched JD using semantic similarity. Experience: 12.9 years. Relevant skills: Salesforce CRM Redis Project Management Tally Vue.js Semantic Search Recommendation
CAND_0049527,34,0.68077,Matched JD using semantic similarity. Experience: 8.5 years. Relevant skills: Hadoop React Salesforce CRM Rust Kafka PostgreSQL Excel ASR Redux
CAND_0020372,35,0.6803,Matched JD using semantic similarity. Experience: 13.4 years. Relevant skills: Agile PostgreSQL Vue.js Tailwind Salesforce CRM Redis Spark Webpack Marketing
CAND_0023645,36,0.68028,Matched JD using semantic similarity. Experience: 14.1 years. Relevant skills: Hadoop PostgreSQL Java Kafka Excel Data Pipelines GCP Databricks CSS
CAND_0080015,37,0.68005,Matched JD using semantic similarity. Experience: 9.3 years. Relevant skills: Time Series Java Illustrator Apache Flink Microservices Apache Beam PostgreSQL
CAND_0008636,38,0.67978,Matched JD using semantic similarity. Experience: 13.7 years. Relevant skills: Redis ETL TTS Spring Boot Go TypeScript Excel Data Pipelines
CAND_0024858,39,0.67954,Matched JD using semantic similarity. Experience: 13.7 years. Relevant skills: SAP Redux MongoDB Docker Go BigQuery ETL Embeddings Sentence Transformers
CAND_0016943,40,0.67928,Matched JD using semantic similarity. Experience: 10.0 years. Relevant skills: PostgreSQL Hadoop FastAPI Airflow GCP React Six Sigma TypeScript Apache
CAND_0062340,41,0.67869,Matched JD using semantic similarity. Experience: 9.5 years. Relevant skills: Spark Kafka Accounting MongoDB Redis Data Science HTML SEO LangChain
CAND_0018484,42,0.67861,Matched JD using semantic similarity. Experience: 12.8 years. Relevant skills: Figma Kubernetes React Project Management Redis OpenCV Spark Java REST
CAND_0039977,43,0.67826,Matched JD using semantic similarity. Experience: 8.9 years. Relevant skills: SEO React Hadoop Snowflake AWS Photoshop Airflow FastAPI Excel SAP
CAND_0051699,44,0.67825,Matched JD using semantic similarity. Experience: 9.6 years. Relevant skills: Data Pipelines Spark Databricks JavaScript HTML Snowflake Agile FastAPI Redis
CAND_0077420,45,0.67808,Matched JD using semantic similarity. Experience: 14.8 years. Relevant skills: Spring Boot SQL Salesforce CRM Photoshop Databricks Spark CSS Vue.js
CAND_0061740,46,0.67799,Matched JD using semantic similarity. Experience: 14.7 years. Relevant skills: Airflow Tailwind HTML Databricks MongoDB Redis RAG Vector Search Prompt
CAND_0091812,47,0.67791,Matched JD using semantic similarity. Experience: 8.3 years. Relevant skills: Spring Boot SEO SQL SAP Hadoop JavaScript Pinecone Fine-tuning LLMs
CAND_0024506,48,0.67787,Matched JD using semantic similarity. Experience: 14.4 years. Relevant skills: Salesforce CRM REST APIs Accounting Tally Illustrator ETL TypeScript Data
CAND_0008892,49,0.67779,Matched JD using semantic similarity. Experience: 13.2 years. Relevant skills: OpenCV Project Management dbt Accounting Terraform Apache Flink Java TypeScript
CAND_0002953,50,0.67778,Matched JD using semantic similarity. Experience: 15.0 years. Relevant skills: ETL Project Management Figma Airflow Tally Redis GCP Prompt Engineering
CAND_0010324,51,0.67758,Matched JD using semantic similarity. Experience: 9.9 years. Relevant skills: Redis GraphQL Go JavaScript Angular ETL Accounting SEO Figma Semantic
CAND_0004330,52,0.67752,Matched JD using semantic similarity. Experience: 13.8 years. Relevant skills: PostgreSQL Figma Tally Databricks Redux ETL Node.js React Project Management
CAND_0022906,53,0.67748,Matched JD using semantic similarity. Experience: 7.6 years. Relevant skills: ASR Java Redis Scrum GraphQL Snowflake SEO Sales JavaScript REST
CAND_0057089,54,0.67748,Matched JD using semantic similarity. Experience: 13.8 years. Relevant skills: Tally Redis Project Management MongoDB Tailwind SEO Angular Snowflake JavaScript
CAND_0012498,55,0.6768,Matched JD using semantic similarity. Experience: 10.2 years. Relevant skills: Apache Flink Kafka gRPC Agile CSS Accounting SQL Vue.js Sentence
CAND_0088176,56,0.6768,Matched JD using semantic similarity. Experience: 9.8 years. Relevant skills: PostgreSQL Rust Scrum Redis SAP FastAPI TTS Six Sigma Hadoop
CAND_0077511,57,0.67675,Matched JD using semantic similarity. Experience: 11.0 years. Relevant skills: JavaScript Marketing PostgreSQL Data Pipelines Tally Snowflake Tailwind Apache Flink
CAND_0031676,58,0.67672,Matched JD using semantic similarity. Experience: 9.5 years. Relevant skills: FastAPI HTML PostgreSQL Redux Content Writing Information Retrieval Fine-tuning LLMs
CAND_0000739,59,0.67671,Matched JD using semantic similarity. Experience: 11.1 years. Relevant skills: Illustrator Redis Data Pipelines OpenCV Vue.js FastAPI Hugging Face Transformers
CAND_0047544,60,0.67667,Matched JD using semantic similarity. Experience: 11.0 years. Relevant skills: Hadoop SEO Docker gRPC PostgreSQL Sentence Transformers Vector Search Hugging
CAND_0054916,61,0.67662,Matched JD using semantic similarity. Experience: 9.0 years. Relevant skills: Project Management Go Accounting FastAPI Hadoop TypeScript Redis Marketing GraphQL
CAND_0020806,62,0.67659,Matched JD using semantic similarity. Experience: 14.1 years. Relevant skills: Apache Flink Docker Figma Illustrator TypeScript Hadoop GCP PostgreSQL Databricks
CAND_0018502,63,0.67655,Matched JD using semantic similarity. Experience: 14.6 years. Relevant skills: Illustrator Redis SAP JavaScript Apache Flink Vue.js MLflow Node.js dbt
CAND_0066748,64,0.67624,Matched JD using semantic similarity. Experience: 10.2 years. Relevant skills: Marketing PostgreSQL Redux Apache Beam Kafka TypeScript Node.js Agile Embeddings
CAND_0069936,65,0.67612,Matched JD using semantic similarity. Experience: 7.1 years. Relevant skills: Spark Java SQL JavaScript Kubernetes FAISS Pinecone RAG Recommendation Systems
CAND_0011505,66,0.67605,Matched JD using semantic similarity. Experience: 14.7 years. Relevant skills: FastAPI Data Pipelines SQL Kafka Angular Hadoop Salesforce CRM Information
CAND_0056954,67,0.67599,Matched JD using semantic similarity. Experience: 12.9 years. Relevant skills: Airflow Hadoop Kubeflow Rust TypeScript Go Node.js Spark AWS Illustrator
CAND_0089059,68,0.67572,Matched JD using semantic similarity. Experience: 12.9 years. Relevant skills: Spring Boot CI/CD CSS AWS PostgreSQL Databricks Azure Java Vue.js
CAND_0098168,69,0.67565,Matched JD using semantic similarity. Experience: 10.7 years. Relevant skills: Redux Microservices Feature Engineering Redis Kafka Airflow Accounting Go Django
CAND_0001095,70,0.67564,Matched JD using semantic similarity. Experience: 10.5 years. Relevant skills: Kafka Databricks Tally Apache Beam Hadoop Apache Flink REST APIs
CAND_0029996,71,0.67562,Matched JD using semantic similarity. Experience: 8.5 years. Relevant skills: GANs AWS Redis HTML SQL Accounting Semantic Search LangChain Embeddings
CAND_0087561,72,0.67545,Matched JD using semantic similarity. Experience: 9.4 years. Relevant skills: dbt Spark TypeScript Agile Data Pipelines Databricks Tally FastAPI SQL
CAND_0062838,73,0.67537,Matched JD using semantic similarity. Experience: 8.1 years. Relevant skills: SQL Java SAP Redux Project Management REST APIs AWS Tally
CAND_0037919,74,0.67537,Matched JD using semantic similarity. Experience: 9.6 years. Relevant skills: Hadoop JavaScript SAP Agile Scrum Redux Illustrator Semantic Search RAG
CAND_0006264,75,0.67532,Matched JD using semantic similarity. Experience: 8.4 years. Relevant skills: Hadoop Illustrator Photoshop Excel Microservices Figma Apache Flink TypeScript React
CAND_0061298,76,0.67529,Matched JD using semantic similarity. Experience: 14.8 years. Relevant skills: Spark Content Writing FastAPI PostgreSQL Airflow LangChain Prompt Engineering Hugging
CAND_0031232,77,0.67528,Matched JD using semantic similarity. Experience: 8.3 years. Relevant skills: SQL Databricks Excel Flask Project Management REST APIs Vue.js Node.js
CAND_0014625,78,0.67522,Matched JD using semantic similarity. Experience: 7.3 years. Relevant skills: Figma Salesforce CRM Tailwind Flask Tally BigQuery Snowflake Apache Flink
